,Date,Name / Description,Expense/Income,Amount (EUR),Transaction,Category
0,2022-01-01 03:25:21.737862,Prescription Meds,Income,181.21,Prescription Meds,Health and Wellness
1,2022-01-01 04:19:09.251706,School Supplies,Expense,143.76,School Supplies,Education
2,2022-01-01 09:22:35.753019,Luxury Hotel Stay,Income,331.66,Luxury Hotel Stay,Travel
3,2022-01-01 12:37:32.191708,Internet Bill,Income,250.54,Internet Bill,Utilities
4,2022-01-01 14:45:16.644981,Sewer Bill,Income,201.4,Sewer Bill,Utilities
5,2022-01-01 15:10:48.949579,Home Cleaning,Income,223.38,Home Cleaning,Maintenance
6,2022-01-01 17:36:33.291219,Sporting Event,Expense,131.51,Sporting Event,Sport and Fitness
7,2022-01-01 20:59:55.683075,Festival Tickets,Expense,289.63,Festival Tickets,Entertainment
8,2022-01-01 21:10:39.072113,Loan Repayment,Income,50.92,Loan Repayment,Finance
9,2022-01-01 23:51:30.245674,Pest Control,Expense,154.84,Pest Control,Maintenance
10,2022-01-02 03:50:43.974061,Grocery Store,Income,257.65,Grocery Store,Food and Drinks
11,2022-01-02 06:14:55.772708,Online Coaching,Income,199.54,Online Coaching,Education
12,2022-01-02 10:05:32.956959,Roof Repair,Expense,294.19,Roof Repair,Maintenance
13,2022-01-02 10:12:14.632838,Storage Unit Rental,Expense,492.85,Storage Unit Rental,Storage
14,2022-01-02 12:29:32.448034,Monthly Rent,Income,364.54,Monthly Rent,Rent
15,2022-01-02 15:05:29.227437,Tutoring Services,Income,142.77,Tutoring Services,Education
16,2022-01-02 22:43:41.037316,Yacht Charter,Income,10.99,Yacht Charter,Travel
17,2022-01-03 05:25:09.398450,Video Game,Income,87.19,Video Game,Entertainment
18,2022-01-03 05:48:51.349164,Bicycle Repair,Expense,390.48,Bicycle Repair,Maintenance
19,2022-01-03 05:58:09.348639,Bicycle Repair,Expense,84.9,Bicycle Repair,Maintenance
20,2022-01-03 06:21:28.100004,Department Store,Expense,214.5,Department Store,Shopping
21,2022-01-03 06:44:48.847971,Freelance Work,Expense,352.32,Freelance Work,Business
22,2022-01-03 10:23:26.868397,Anniversary Gift,Income,372.74,Anniversary Gift,Romance
23,2022-01-03 11:51:10.788285,Car Loan Payment,Expense,103.8,Car Loan Payment,Finance
24,2022-01-03 13:48:41.737691,Business Expense,Expense,72.22,Business Expense,Business
25,2022-01-03 14:59:42.576569,Septic Tank Service,Expense,341.4,Septic Tank Service,Maintenance
26,2022-01-03 16:48:03.200056,Tattoo Parlor,Expense,362.12,Tattoo Parlor,Entertainment
27,2022-01-03 22:41:33.093767,Software License,Income,147.02,Software License,Business
28,2022-01-04 00:11:01.306871,Amazon Purchase,Income,319.17,Amazon Purchase,Shopping
29,2022-01-04 00:44:26.243586,Charity Event,Income,64.4,Charity Event,Charity
30,2022-01-04 01:08:34.492336,Luxury Hotel Stay,Income,202.56,Luxury Hotel Stay,Travel
31,2022-01-04 02:52:10.982808,Luxury Car Lease,Expense,11.53,Luxury Car Lease,Travel
32,2022-01-04 03:44:20.170960,Tuition Payment,Income,145.61,,
33,2022-01-04 03:53:28.081178,Streaming Rental,Expense,259.28,,
34,2022-01-04 09:18:15.082590,HVAC Maintenance,Income,161.12,,
35,2022-01-04 09:22:54.467763,Streaming Rental,Income,312.34,,
36,2022-01-04 14:27:14.440734,Real Estate Agent Fee,Expense,419.14,,
37,2022-01-04 14:30:50.094856,Streaming Service,Expense,170.5,,
38,2022-01-04 15:44:04.745721,Donation to Charity,Expense,253.59,,
39,2022-01-04 16:22:23.392434,Hair Salon,Expense,383.37,,
40,2022-01-04 17:03:32.281633,HVAC Maintenance,Expense,478.53,,
41,2022-01-04 19:12:49.009717,Sewer Bill,Expense,99.99,Sewer Bill,Utilities
42,2022-01-04 19:36:50.591775,Restaurant Dining,Income,186.03,,
43,2022-01-04 21:08:55.508432,Furniture Purchase,Income,382.98,,
44,2022-01-04 21:47:44.869540,Real Estate Agent Fee,Expense,203.16,,
45,2022-01-04 23:41:36.851186,Event Registration,Income,33.37,,
46,2022-01-05 02:01:12.361492,New Car Purchase,Expense,299.71,,
47,2022-01-05 02:46:02.279164,Photography Service,Income,47.37,,
48,2022-01-05 03:14:47.552400,Freight Shipping,Expense,453.8,,
49,2022-01-05 05:39:20.113832,Health Insurance,Income,243.23,,
50,2022-01-05 07:04:14.730069,Travel Insurance,Expense,179.95,,
51,2022-01-05 07:12:27.485474,Flight Ticket,Income,311.62,,
52,2022-01-05 07:15:16.303907,Car Repair,Expense,290.45,,
53,2022-01-05 16:19:46.873761,Optometry Visit,Income,21.42,,
54,2022-01-05 18:01:35.168876,Home Appliance,Income,163.8,,
55,2022-01-05 18:55:41.634142,Investment Brokerage Fee,Expense,495.3,,
56,2022-01-05 19:00:05.812280,New Car Purchase,Expense,112.23,,
57,2022-01-05 19:15:22.315015,New Car Purchase,Expense,131.49,,
58,2022-01-05 19:25:59.247390,Bicycle Repair,Income,13.43,Bicycle Repair,Maintenance
59,2022-01-05 19:48:13.365059,Bail Bond Payment,Expense,29.47,,
60,2022-01-05 19:53:16.216693,Sewer Bill,Income,182.17,Sewer Bill,Utilities
