Date,Name / Description,Expense/Income,Amount (EUR)
2022-01-01 03:25:21.737862,Prescription Meds,Income,181.21
2022-01-01 04:19:09.251706,School Supplies,Expense,143.76
2022-01-01 09:22:35.753019,Luxury Hotel Stay,Income,331.66
2022-01-01 12:37:32.191708,Internet Bill,Income,250.54
2022-01-01 14:45:16.644981,Sewer Bill,Income,201.4
2022-01-01 15:10:48.949579,Home Cleaning,Income,223.38
2022-01-01 17:36:33.291219,Sporting Event,Expense,131.51
2022-01-01 20:59:55.683075,Festival Tickets,Expense,289.63
2022-01-01 21:10:39.072113,Loan Repayment,Income,50.92
2022-01-01 23:51:30.245674,Pest Control,Expense,154.84
2022-01-02 03:50:43.974061,Grocery Store,Income,257.65
2022-01-02 06:14:55.772708,Online Coaching,Income,199.54
2022-01-02 10:05:32.956959,Roof Repair,Expense,294.19
2022-01-02 10:12:14.632838,Storage Unit Rental,Expense,492.85
2022-01-02 12:29:32.448034,Monthly Rent,Income,364.54
2022-01-02 15:05:29.227437,Tutoring Services,Income,142.77
2022-01-02 22:43:41.037316,Yacht Charter,Income,10.99
2022-01-03 05:25:09.398450,Video Game,Income,87.19
2022-01-03 05:48:51.349164,Bicycle Repair,Expense,390.48
2022-01-03 05:58:09.348639,Bicycle Repair,Expense,84.9
2022-01-03 06:21:28.100004,Department Store,Expense,214.5
2022-01-03 06:44:48.847971,Freelance Work,Expense,352.32
2022-01-03 10:23:26.868397,Anniversary Gift,Income,372.74
2022-01-03 11:51:10.788285,Car Loan Payment,Expense,103.8
2022-01-03 13:48:41.737691,Business Expense,Expense,72.22
2022-01-03 14:59:42.576569,Septic Tank Service,Expense,341.4
2022-01-03 16:48:03.200056,Tattoo Parlor,Expense,362.12
2022-01-03 22:41:33.093767,Software License,Income,147.02
2022-01-04 00:11:01.306871,Amazon Purchase,Income,319.17
2022-01-04 00:44:26.243586,Charity Event,Income,64.4
2022-01-04 01:08:34.492336,Luxury Hotel Stay,Income,202.56
2022-01-04 02:52:10.982808,Luxury Car Lease,Expense,11.53
2022-01-04 03:44:20.170960,Tuition Payment,Income,145.61
2022-01-04 03:53:28.081178,Streaming Rental,Expense,259.28
2022-01-04 09:18:15.082590,HVAC Maintenance,Income,161.12
2022-01-04 09:22:54.467763,Streaming Rental,Income,312.34
2022-01-04 14:27:14.440734,Real Estate Agent Fee,Expense,419.14
2022-01-04 14:30:50.094856,Streaming Service,Expense,170.5
2022-01-04 15:44:04.745721,Donation to Charity,Expense,253.59
2022-01-04 16:22:23.392434,Hair Salon,Expense,383.37
2022-01-04 17:03:32.281633,HVAC Maintenance,Expense,478.53
2022-01-04 19:12:49.009717,Sewer Bill,Expense,99.99
2022-01-04 19:36:50.591775,Restaurant Dining,Income,186.03
2022-01-04 21:08:55.508432,Furniture Purchase,Income,382.98
2022-01-04 21:47:44.869540,Real Estate Agent Fee,Expense,203.16
2022-01-04 23:41:36.851186,Event Registration,Income,33.37
2022-01-05 02:01:12.361492,New Car Purchase,Expense,299.71
2022-01-05 02:46:02.279164,Photography Service,Income,47.37
2022-01-05 03:14:47.552400,Freight Shipping,Expense,453.8
2022-01-05 05:39:20.113832,Health Insurance,Income,243.23
2022-01-05 07:04:14.730069,Travel Insurance,Expense,179.95
2022-01-05 07:12:27.485474,Flight Ticket,Income,311.62
2022-01-05 07:15:16.303907,Car Repair,Expense,290.45
2022-01-05 16:19:46.873761,Optometry Visit,Income,21.42
2022-01-05 18:01:35.168876,Home Appliance,Income,163.8
2022-01-05 18:55:41.634142,Investment Brokerage Fee,Expense,495.3
2022-01-05 19:00:05.812280,New Car Purchase,Expense,112.23
2022-01-05 19:15:22.315015,New Car Purchase,Expense,131.49
2022-01-05 19:25:59.247390,Bicycle Repair,Income,13.43
2022-01-05 19:48:13.365059,Bail Bond Payment,Expense,29.47
2022-01-05 19:53:16.216693,Sewer Bill,Income,182.17
2022-01-05 21:40:02.629169,Wedding Gift,Expense,484.43
2022-01-06 00:54:18.960206,Video Game,Income,297.24
2022-01-06 01:42:53.739039,Home Cleaning,Income,34.16
2022-01-06 02:10:32.790429,Window Cleaning,Expense,466.97
2022-01-06 04:28:04.561384,Mortgage Payment,Income,109.77
2022-01-06 04:50:27.459492,Fishing License,Expense,165.11
2022-01-06 06:23:27.651696,Online Shopping,Expense,451.93
2022-01-06 07:33:01.203361,Monthly Rent,Expense,189.34
2022-01-06 08:35:40.694091,ATM Fee,Income,108.69
2022-01-06 09:59:42.472505,Income Tax Payment,Income,217.75
2022-01-06 16:11:03.860486,Charity Event,Income,141.24
2022-01-06 17:37:31.422152,Property Tax,Expense,67.26
2022-01-06 20:28:24.482219,Luxury Car Lease,Expense,350.74
2022-01-06 23:32:19.490137,Amazon Purchase,Expense,445.57
2022-01-07 01:49:37.343664,Outdoor Equipment,Income,91.75
2022-01-07 03:17:30.875727,Pet Grooming,Expense,365.39
2022-01-07 04:17:56.442984,Spotify Subscription,Income,345.77
2022-01-07 05:22:45.075855,Golf Course,Expense,26.58
2022-01-07 11:02:15.858116,Meal Delivery,Income,340.44
2022-01-07 11:04:47.539593,Court Fees,Income,169.64
2022-01-07 11:12:06.487063,Digital Download,Expense,164.05
2022-01-07 15:33:52.568141,Wedding Gift,Expense,471.81
2022-01-07 16:45:44.567423,Spa Package,Income,495.33
2022-01-07 17:59:13.802274,Pest Control,Income,54.32
2022-01-07 18:15:25.131188,Client Meeting Expense,Expense,397.08
2022-01-07 19:49:13.241615,Coffee Shop,Expense,350.57
2022-01-07 20:23:43.577995,Insurance Payment,Expense,52.91
2022-01-07 22:19:37.407045,Snowmobile Rental,Income,171.77
2022-01-07 23:35:14.686248,Optometry Visit,Income,288.81
2022-01-08 00:00:17.745110,Walmart Groceries,Income,289.47
2022-01-08 00:32:20.258879,Internet Bill,Income,423.33
2022-01-08 02:18:13.960423,Luxury Car Lease,Income,371.58
2022-01-08 02:27:04.050144,Grocery Delivery,Income,287.4
2022-01-08 05:04:19.331256,Computer Purchase,Income,90.56
2022-01-08 07:49:43.252371,Coffee Shop,Expense,137.66
2022-01-08 10:56:18.936956,Investment Account,Income,305.76
2022-01-08 11:43:33.073511,Sales Tax,Expense,222.52
2022-01-08 14:06:06.190397,Pharmacy,Expense,219.52
2022-01-08 14:28:41.376351,Personal Loan Payment,Expense,172.35
2022-01-08 14:38:08.073792,Outdoor Equipment,Income,455.09
2022-01-08 16:41:04.572902,Investment Income,Income,112.28
2022-01-08 16:54:20.328726,Streaming Service,Income,406.01
2022-01-08 17:04:20.994476,Fitness Equipment,Income,63.45
2022-01-08 17:18:43.525059,Video Game,Expense,47.7
2022-01-08 18:49:12.650927,Optometry Visit,Expense,324.72
2022-01-08 19:06:50.982497,Netflix Subscription,Expense,384.73
2022-01-08 19:23:20.804930,Overdraft Fee,Income,106.29
2022-01-08 20:39:58.928779,Furniture Purchase,Expense,276.23
2022-01-09 00:03:13.755379,Office Supplies,Income,336.94
2022-01-09 01:16:47.521988,Freight Shipping,Income,79.82
2022-01-09 03:05:02.526474,Overdraft Fee,Expense,180.79
2022-01-09 04:08:27.501076,Home Appliance,Income,270.96
2022-01-09 09:52:15.588038,Video Game,Expense,201.47
2022-01-09 10:45:18.642466,Landscaping,Income,438.83
2022-01-09 10:59:45.229491,Software License,Expense,137.42
2022-01-09 11:00:06.324415,Foreign Transaction Fee,Income,414.12
2022-01-09 12:55:19.512424,Tattoo Parlor,Expense,355.83
2022-01-09 14:15:07.583657,Loan Repayment,Expense,64.95
2022-01-09 16:02:24.156777,School Supplies,Expense,291.87
2022-01-09 17:37:34.308304,Software Subscription,Expense,412.49
2022-01-09 19:07:09.372387,Office Supplies,Expense,328.89
2022-01-09 20:50:46.315582,Home Cleaning,Income,172.28
2022-01-09 21:17:24.292230,Hardware Store,Income,159.22
2022-01-09 21:27:53.856360,Bank Service Charge,Income,430.3
2022-01-09 21:35:13.392102,Medical Checkup,Expense,274.98
2022-01-09 23:00:03.728624,Tree Trimming,Income,437.98
2022-01-09 23:53:06.629074,Retirement Contribution,Income,54.25
2022-01-10 00:15:23.179718,Massage Therapy,Expense,474.38
2022-01-10 02:18:35.432626,Phone Accessory,Income,150.65
2022-01-10 04:04:23.108653,Bowling Alley,Expense,493.01
2022-01-10 04:43:14.073929,Vacation Package,Income,278.75
2022-01-10 07:25:58.556173,Gifts & Cards,Income,475.42
2022-01-10 07:42:04.087044,Pet Grooming,Expense,192.8
2022-01-10 10:09:18.787002,Gym Membership,Expense,63.52
2022-01-10 11:21:06.538886,Cell Phone Purchase,Expense,121.1
2022-01-10 12:57:16.479529,Fishing License,Income,12.17
2022-01-10 15:06:43.219091,Savings Deposit,Expense,65.45
2022-01-10 16:33:04.506306,Membership Fee,Income,108.44
2022-01-10 16:46:38.208029,Health Insurance,Expense,417.18
2022-01-10 21:06:24.658740,Credit Card Payment,Income,443.09
2022-01-10 22:22:28.586905,Netflix Subscription,Income,178.3
2022-01-10 22:39:39.534365,Home Appliance,Expense,433.09
2022-01-10 22:48:07.637745,Investment Income,Income,184.45
2022-01-11 03:11:56.357264,Donation to Charity,Income,315.4
2022-01-11 06:57:15.872313,Anniversary Gift,Income,301.43
2022-01-11 07:12:34.350101,Moving Service,Expense,463.83
2022-01-11 07:56:22.320064,Grocery Store,Income,115.71
2022-01-11 08:12:42.743030,Snow Removal,Income,103.42
2022-01-11 08:38:17.191550,Natural Gas Bill,Expense,58.09
2022-01-11 10:34:22.795252,Electrician Service,Income,63.03
2022-01-11 10:57:47.803193,Investment Advisor Fee,Income,402.64
2022-01-11 11:20:01.053652,Photography Service,Expense,405.22
2022-01-11 13:45:34.133695,Online Coaching,Expense,41.88
2022-01-11 14:44:28.091642,Photography Service,Income,362.6
2022-01-11 17:37:33.315738,Dental Care,Expense,430.24
2022-01-11 21:25:15.278989,Video Game,Income,158.6
2022-01-11 22:20:42.121656,Luxury Hotel Stay,Expense,131.3
2022-01-11 23:37:28.456982,Gas Station,Income,334.85
2022-01-12 04:51:09.639442,Moving Service,Expense,192.89
2022-01-12 09:36:39.647699,Investment Advisor Fee,Expense,197.17
2022-01-12 13:18:43.619524,Luxury Hotel Stay,Income,414.94
2022-01-12 14:39:52.467314,ATM Fee,Income,60.07
2022-01-12 14:42:50.966281,Coffee Shop,Expense,104.66
2022-01-12 16:36:30.974926,Tutoring Services,Income,348.76
2022-01-12 18:00:12.853067,Subscription Renewal,Income,191.68
2022-01-12 18:28:51.508155,Bicycle Repair,Expense,93.28
2022-01-12 19:47:06.189353,Day Spa,Income,170.63
2022-01-12 20:38:13.437662,Fishing License,Expense,298.27
2022-01-12 20:42:00.078685,Uber Ride,Income,477.41
2022-01-12 21:13:39.462278,Airport Parking,Expense,132.65
2022-01-12 22:44:54.015188,Parking Fee,Income,382.72
2022-01-12 23:15:15.591147,Freight Shipping,Income,6.09
2022-01-12 23:23:52.539459,Credit Report Fee,Expense,420.59
2022-01-13 01:46:47.016392,Netflix Subscription,Income,149.26
2022-01-13 02:13:21.013482,Investment Income,Income,365.28
2022-01-13 08:39:57.596598,Student Loan Payment,Income,349.3
2022-01-13 14:05:52.612870,Prescription Meds,Income,9.63
2022-01-13 16:04:11.888546,Trash Collection,Expense,360.73
2022-01-13 16:16:11.334875,Anniversary Gift,Income,278.84
2022-01-13 17:08:24.894397,Lottery Ticket,Income,300.0
2022-01-13 17:30:42.652026,Theater Tickets,Expense,144.28
2022-01-13 18:58:07.423745,Bowling Alley,Income,467.33
2022-01-13 20:47:00.149631,Business Expense,Income,189.28
2022-01-13 21:00:10.419677,Sporting Goods,Income,311.44
2022-01-13 21:09:40.282465,Golf Club Membership,Expense,215.7
2022-01-13 21:51:01.594125,Medical Checkup,Expense,35.52
2022-01-14 00:03:50.048711,Department Store,Income,242.37
2022-01-14 01:26:40.824907,Firewood,Income,260.28
2022-01-14 04:35:15.874381,Legal Fees,Income,461.1
2022-01-14 09:26:25.637943,Retirement Contribution,Income,425.91
2022-01-14 13:49:30.279691,Roof Repair,Expense,98.48
2022-01-14 14:32:47.670692,Phone Bill,Expense,121.6
2022-01-14 15:29:51.573673,Furniture Purchase,Expense,480.55
2022-01-14 16:18:31.752392,Grocery Store,Expense,126.06
2022-01-14 17:02:13.089334,Background Check,Income,217.17
2022-01-14 17:46:22.681536,Golf Club Membership,Income,312.84
2022-01-14 20:46:04.635642,Electrician Service,Income,36.19
2022-01-14 21:31:34.925642,Digital Download,Expense,224.34
2022-01-15 07:24:27.416677,Netflix Subscription,Income,59.97
2022-01-15 10:18:16.580614,Landscaping,Expense,19.55
2022-01-15 11:24:44.197577,Resume Service,Expense,6.59
2022-01-15 15:47:54.880848,Bank Service Charge,Expense,333.28
2022-01-15 16:37:03.009733,Freight Shipping,Expense,196.33
2022-01-15 20:57:29.391187,Office Supplies,Expense,269.97
2022-01-15 22:52:42.887066,Personal Trainer,Income,171.37
2022-01-16 02:46:23.589330,Pharmacy,Expense,167.32
2022-01-16 04:23:11.497470,ATM Fee,Expense,257.78
2022-01-16 09:28:30.577056,Pet Supplies,Income,123.19
2022-01-16 11:03:12.621255,Software Subscription,Income,215.77
2022-01-16 11:08:57.443652,Consulting Income,Expense,374.29
2022-01-16 12:07:01.686897,Job Training Fee,Income,454.85
2022-01-16 12:29:01.400623,Luxury Purchase,Income,429.97
2022-01-16 13:35:20.978320,Subscription Box,Income,190.98
